S_0,S_1,S_2,I_0,I_1,I_2,R_0,R_1,R_2
39051.53336926146,16950.997236936255,170.3366943765334,65872.13638967625,157321.66925994228,77646.3498277442,67726.79571200428,206765.45580211314,137663.26749768626
34733.3655530776,13202.245553942155,94.99599780343979,63337.529065076866,145880.34203054124,70681.33979295625,76290.1734426622,227217.27280590564,147757.292975293
31188.764065878288,10507.620459039574,56.217958332718865,60192.06917459231,134251.8429313347,64100.50280272708,84524.0522211222,246181.717269876,156945.86714837732
28269.007875960437,8540.265176105933,35.16643715287471,56674.14872401554,122850.30321465724,57952.68880141368,92349.0212138192,263634.4568509495,165278.93251273184
25852.8647720305,7080.397684362185,23.143780398944763,52965.51537707556,111928.5023583309,52258.76522644562,99716.66054794122,279604.99626885494,172812.78205691563
23843.13511762307,5979.576919101764,15.947248456662905,49200.82538456434,101631.20707045072,47021.177722637294,106602.17754696104,294155.70157543797,179606.42153635356
22162.488028413318,5136.604005160903,11.450910778353911,45477.181163742294,92031.82376580934,42229.99458390952,112998.28484695441,307367.7584945966,185719.1746402964
20749.54676991469,4481.648684426479,8.530757722364879,41862.506688903144,83157.11164581282,37867.08956425432,118910.31839824091,319331.8955841518,191209.07393620463
19555.55115728188,3965.871744727201,6.56720884953733,38402.46099568305,75003.74705794682,33909.15860309014,124352.44426779832,330142.32009810745,196131.79557955769
18541.645611877386,3554.6310364493784,5.205236606091575,35125.95271543382,67549.42648726083,30329.918135573094,129344.76419723712,339892.80721564055,200539.9861979594
17676.731308600258,3223.0044601838463,4.233999492236622,32049.44919180988,60760.32346854087,27101.696808870172,133911.13805024352,348674.2326589845,204482.8755555839
16935.788112392816,2952.811607848347,3.5241050979054314,29180.299623731713,54596.10307397716,24196.56943046867,138077.56644517882,356573.0747098948,208006.096140737
16298.572219590416,2730.610140460417,2.9937215665602173,26519.27465277319,49013.28912597143,21587.145249086847,141871.00539626394,363670.5681095118,211151.65016669795
15748.607713727037,2546.331586931808,2.589651668936459,24062.493694679622,43967.51164633785,19247.096994686184,145318.51110112446,370042.2956958881,213957.97904907924
15272.405332809467,2392.3409375557844,2.276430763847865,21802.87873962125,39414.98745198363,17151.497461647396,148446.6352814328,375758.072209912,216460.10165838845
14858.855858275403,2262.780293233817,2.0298640376020565,19731.244243573146,35313.47244857973,15277.014958496286,151281.00951758356,380882.02057866985,218689.79632840262
14498.757432529965,2153.1051433874045,1.8330922669113308,17837.10851691345,31622.84862651513,13602.006761353403,153846.07126924806,385472.7719969852,220675.80827300713
14184.44563743855,2059.7528205020963,1.674137260273758,16109.292604002987,28305.458301345196,12106.540174020733,156164.8953764468,389583.74231843214,222444.06915198307
13909.502581749117,1979.9027158298295,1.544335243121025,14536.357409199394,25326.264023490796,10772.363405474409,158259.1034149672,393263.451897607,224017.91937460576
13668.52692783647,1911.3009309958356,1.4373156878538984,13106.918005813517,22652.889230316225,9582.842791964731,160148.82987816312,396555.8662206608,225418.32661731742
13456.951104865602,1852.1306825037489,1.348322557538644,11809.864959186669,20255.578541291048,8522.878552294866,161852.7292189189,399500.7418206019,226664.09618027284
13270.895220837372,1800.9155433858773,1.2737548955346252,10634.515504847395,18107.1052742583,7578.807973238387,163388.01166361314,402133.96703096974,227772.07039207118
13107.049652720463,1756.446496584374,1.2108505952511373,9570.712064300853,16182.645756764821,6738.30243849615,164770.4986792433,404487.89071662334,228757.31542859218
12962.580158372151,1717.7264270134556,1.1574652864708423,8608.881474572867,14459.634301570655,5990.262850538716,166014.6912476024,406591.63466500276,229633.29474559668
12835.050765883016,1683.9275065789193,1.1119154520991559,7740.065159228707,12917.608622176138,5324.716603168656,167133.84583929688,408471.3871242069,230412.02891616672
12722.360768156414,1654.358198229544,1.0728655871458226,6955.928052721461,11538.05251251727,4732.718230117636,168140.0543099966,410150.67624508985,231104.24207457865
12622.692967457731,1628.4374990464053,1.0392459923348447,6248.752234409458,10304.240479632881,4206.255094278232,169044.32495685038,411650.6230717171,231719.49544449395
12534.47093946562,1605.6746767239972,1.0101921638807032,5611.4198021899065,9201.0874713188,3738.1589266091623,169856.6627473236,412990.17433406936,232266.30860675013
12456.323566151717,1585.6532080894415,0.9849996002596877,5037.388418439548,8215.005721266254,3322.023622553927,170586.1473216083,414186.3157053408,232752.2692672093
12387.055456817325,1568.0179565320989,0.9630897455123291,4520.66211658026,7333.769926575816,2952.129418360899,171241.00781600544,415254.26644910546,233184.13233814132
12325.622163185415,1552.46486437399,0.9439840668992968,4055.759306854423,6546.391393590852,2623.3733706820017,171828.69389116086,416207.6565395603,233567.90916252823
12271.10931737093,1538.7326118899252,0.9272841365561744,3637.679420222672,5843.001377143636,2331.2059280518865,172355.94260105194,417058.6874207271,233908.9477007169
12222.714995731607,1526.5958247404042,0.912656188717093,3261.8692454896072,5214.743551195967,2071.57329551146,172828.84092568088,417818.2775997558,234212.00447136365
12179.734748294746,1515.8595085772058,0.8998190444886491,2924.1897205290893,4653.675352808439,1840.8652410528007,173252.88392759452,418496.19426141126,234481.30899978013
12141.548841202424,1506.3544624401957,0.8885345930148412,2620.883713558334,4152.677812205494,1635.8679651674122,173633.0285912633,419101.17205727636,234720.621481117
12107.611344920828,1497.9334776652802,0.8786002296676607,2348.545159151084,3705.373401455515,1453.7216453922777,173973.7434740259,419641.0201728631,234933.28431658878
12077.440768789196,1490.4681709684348,0.8698428044866562,2104.0897839751647,3306.0513895829295,1291.8822709880978,174279.05434471552,420122.7187150523,235122.26813048977
12050.611996654296,1483.8463325013697,0.8621137450471555,1884.72755970076,2949.6001728015426,1148.087394740337,174552.5860166323,420552.50539569807,235290.21282571822
12026.749321786167,1477.969694435755,0.8552850993308658,1687.9369478635178,2631.4460475703954,1020.3254463732939,174797.6005993934,420935.95341816224,235439.46418703446
12005.520414272649,1472.7520448262926,0.849246304379517,1511.4409480141655,2347.4979057878186,906.8082730235586,175017.03240261564,421278.0414043464,235572.106495063
11986.631082408392,1468.117626463984,0.8439015314002972,1353.1849218339416,2094.097351542821,805.9465950393904,175213.51972585748,421583.2161320988,235689.99157055607
11969.820712603763,1463.9997721564841,0.8391674917109133,1211.316138609243,1867.9737643934918,716.3280889123582,175389.4337656959,421855.4487877994,235794.76462791118
11954.858291115852,1460.339737110822,0.8349716134228748,1084.164968865399,1666.2038629045458,636.6978325994388,175546.90486371508,422098.28537717054,235887.88727946978
11941.538926291982,1457.085696410092,0.831250518194161,970.2276409763409,1486.1753525232934,565.9408713021479,175687.8463096676,422314.89187934814,235970.65799770772
11929.680802681178,1454.19188139911,0.8279487422816482,868.1504685740025,1325.5542726358292,503.0666835662277,175813.9759029945,422508.0946751762,236044.230310977
11919.122508836894,1451.6178334520212,0.8250176576185783,776.7154533195252,1182.2556879978702,447.19534812156377,175926.83546390914,422680.41673061886,236109.6289798406
11909.720689322457,1449.3277573387948,0.822414557564056,694.8271670909571,1054.4173991103098,397.5452310693585,176027.80847284067,422834.1099700586,236167.76437509642
11901.347978671614,1447.2899594311893,0.8201018789361857,621.5008191333692,940.3763741335019,353.42203078742386,176118.1360045625,422971.1842319429,236219.44525513545
11893.891181115867,1445.476358442245,0.8180465374077219,555.8514166242911,838.6476313747619,314.2090342620708,176198.93111104984,423093.4331605803,236265.39011913782
11887.24966498107,1443.8620583934426,0.8162193576582265,497.08393098260433,747.9053261137767,279.35845349985,176271.191795211,423202.457352659,236306.2372935919
11881.333944949436,1442.4249751416428,0.8145945831004815,444.48438675090676,666.9658185001185,248.38372428188777,176335.81270623874,423299.68504505383,236342.5538925469
11876.06442901824,1441.1455091454372,0.8131494527294298,397.4117947510307,594.7725204700683,220.8526618706466,176393.59567651636,423386.39060145884,236374.84377670352
11871.370310075277,1440.0062582640564,0.8118638348305606,355.2908562555722,530.3823391289297,196.38137944533196,176445.25920983398,423463.71102911996,236403.5546227467
