S_0,S_1,S_2,I_0,I_1,I_2,R_0,R_1,R_2
0.0,1522.008757410897,0.5229714895641517,4732.105182831156,8363.621079491713,2153.608178788242,91409.82143848589,433917.8056321137,247845.86884972214
0.0,1507.3615392940478,0.5129057426500928,4264.999474903619,7399.160317061007,1873.6491812926847,92024.99511225394,435005.07637244766,248125.8379129646
0.0,1494.5511769261639,0.5041878494935598,3841.181354309084,6545.413669225517,1630.0835056177923,92579.4450439914,435966.9672136656,248369.41230653264
0.0,1483.334944476012,0.49662024230048557,3457.0860040411126,5789.768916293017,1418.1802174946724,93078.79862005159,436817.87099066493,248581.32316226297
0.0,1473.5048981782495,0.4900380472373951,3109.366006707092,5121.030717009453,1233.823371415428,93528.21980057693,437570.540949783,248765.68659053728
0.0,1464.882314864121,0.48430288626898405,2794.892872415454,4529.265717531719,1073.4320682923908,93932.43738144885,438236.27494299423,248926.0836288213
0.0,1457.3131378238636,0.47929801420509044,2510.7546656242775,4005.6636229456276,933.8909042864439,94295.77345486287,438825.07948627335,249065.6297976993
0.0,1450.6642244979903,0.4749244710440489,2254.2507183567386,3542.4128186160815,812.4894602723672,94622.17156139402,439345.8157572563,249187.03561525655
0.0,1444.8202368083573,0.4710980131836886,2022.8842224184914,3132.5891931311353,706.8696568948199,94915.2241547804,439806.32942367636,249292.65924509196
0.0,1439.681049953565,0.467746647172896,1814.3533337779577,2770.0568949063513,614.9799528645041,95178.1991036948,440213.56601878343,249384.55230048829
0.0,1435.1595821496285,0.46480863335982303,1626.5412918650827,2449.379843138695,535.0354970059316,95414.06503708594,440573.6734151213,249464.49969436068
0.0,1431.1799682275598,0.4622308588301839,1457.5059500802645,2165.7429055404373,465.4834601696901,95625.5154050284,440892.0927947293,249534.05430897145
0.0,1427.676015760439,0.45996750272664194,1305.4690270589433,1914.8817466044359,404.9728737037339,95814.99117853884,441173.63937244954,249594.5671587935
0.0,1424.5898946276964,0.45797893471139306,1168.8053177266968,1693.0204387062968,352.32838869026375,95984.7021520565,441422.5739995081,249647.213632375
0.0,1421.8710204806073,0.45623080061301996,1046.0320460322525,1496.8160126432604,306.52744629462785,96136.64684336097,441642.66665653995,249693.01632290473
0.0,1419.4751000815806,0.45469325935068594,935.7984950909544,1323.3092033590194,266.6804158175886,96272.63100934516,441837.2527381836,249732.86489092303
0.0,1417.3633124239936,0.45334034289159547,836.8760133512691,1169.8807201520972,232.01331467776117,96394.28481370698,442009.2829346203,249767.5333449793
0.0,1415.5016042561358,0.45214941687879023,748.1484656948677,1034.2124384563806,201.85277469566503,96503.07869544264,442161.3674282401,249797.69507588743
0.0,1413.860082403148,0.45110072410954066,668.6031747605739,914.25297236442,175.6129626779978,96600.33799598298,442295.8150452394,249823.93593659787
0.0,1412.4124883113134,0.45017699657642674,597.3223791400668,808.1871436222741,152.7842012573912,96687.25640870185,442414.6679316468,249846.76562174602
0.0,1411.1357426881373,0.44936312454571326,533.475220516518,714.4089141311811,132.92306896596105,96764.90831799006,442519.7322603177,249866.62756790948
0.0,1410.0095501014675,0.4486458733213596,476.31026055292006,631.4973953699699,115.64378725161046,96834.2600966572,442612.60541915474,249883.90756687504
0.0,1409.016055026075,0.4480136400634957,425.14851976271984,558.1955899530147,100.61072714215896,96896.18043052909,442694.70008055284,249898.94125921774
0.0,1408.1395421602517,0.4474562443997923,379.37702419834187,493.39155812038115,87.531890009342,96951.44973809824,442767.2655072467,249912.0206537462
0.0,1407.3661749356872,0.4469647476645829,338.4428411503178,436.1017356747402,76.15323580486276,97000.76875124402,442831.4064098024,249923.39979944742
0.0,1406.6837670564048,0.4465312964832203,301.84758181284354,385.4561600769352,66.25374860141196,97044.76632059355,442888.0996354401,249933.29972010205
0.0,1406.0815826625799,0.44614898713353723,269.14234675447204,340.6853884150959,57.64114359257809,97084.00650622923,442938.2089362501,249941.91270742024
0.0,1405.5501613509678,0.4458117476975893,239.923088800512,301.1089150770782,50.14813216497888,97118.99501130731,442982.4980367441,249949.4060560873
0.0,1405.0811648179947,0.44551423549236446,213.82636739433474,266.12491846723753,43.62917249573685,97150.18501285138,443021.6421957041,249955.92531326873
0.0,1404.6672423423906,0.4452517476590787,190.5254685012685,235.20118527835575,37.957642559124345,97177.98244061264,443056.23843510484,249961.5971056932
0.0,1404.3019127060788,0.4450201431136944,169.72686452337624,207.86707789818,33.02338063098357,97202.7507515178,443086.81458919105,249966.53159922588
0.0,1403.9794604766432,0.4448157743294716,151.16698940263632,183.70642571644842,28.730545517739927,97224.81524390583,443113.83730931784,249970.8246387079
0.0,1403.6948448515773,0.4446354276460422,134.60930502030723,162.35123460121076,24.995754947117167,97244.46695252818,443137.719144661,249974.55960962523
0.0,1403.4436195014634,0.44447627098689635,119.84163608447759,143.476120812436,21.74646596065108,97261.96616218082,443158.8248051591,249977.80905776835
0.0,1403.221862052593,0.44433580802483946,106.67375188247244,126.79338627841899,18.919565848728496,97277.5455748718,443177.47670086473,249980.63609834324
0.0,1403.026112024559,0.44421183796817276,94.93517451756634,112.04866162216118,16.460146258450457,97291.41316261652,443193.95984108094,249983.09564190358
0.0,1402.8533161893663,0.44410242025329716,84.47319451715387,99.0170517215822,14.320436662566774,97303.7547353038,443208.5261670918,249985.23546091717
0.0,1402.7007804491946,0.4440058435255614,75.15107596645538,87.49972603639753,12.458876473160828,97314.73625059103,443221.3983838156,249987.0971176833
0.0,1402.5661274431402,0.4439205983722546,66.84643456839721,77.3209025406857,10.839307776803228,97324.50589046667,443232.7733482003,249988.7167716248
0.0,1402.4472591915273,0.44384535334194763,59.44977324187043,68.32517995730812,9.430273010849115,97333.19592696056,443242.8250655306,249990.1258816358
0.0,1402.3423241718722,0.44377893384478434,52.86316103651623,60.375178182087616,8.204403938935894,97340.924397482,443251.70733892504,249991.3518171272
0.0,1402.2496882950554,0.44372030358034625,46.99904225510808,53.349451386574955,7.137890057138666,97347.79660841674,443259.5561120887,249992.41838963926
0.0,1402.1679093152352,0.4436685481846343,41.77916372967275,47.140642364768595,6.210016105106352,97353.9064839099,443266.491540769,249993.3463153467
0.0,1402.0957142637944,0.44362286082658536,37.13360919192637,41.653850300422356,5.402759698800574,97359.33777519476,443272.6198242764,249994.15361744034
